statename,distname,YEAR,RAPE,CUSTODIAL RAPE,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE
Karnataka,Total,2001,293,0,494,2678,352,220,1665,1755,100
Kerala,Alapuzha,2001,21,0,18,152,35,1,162,105,0
Kerala,Cbcid,2001,2,0,18,37,1,0,0,4,0
Kerala,Ernakulam,2001,38,0,22,267,25,3,162,161,0
Kerala,Idukki,2001,34,0,55,78,10,0,145,127,0
Kerala,Kannur,2001,42,0,17,183,6,0,77,157,0
Kerala,Kasargod,2001,28,0,11,55,0,0,0,66,0
Kerala,Kollam,2001,55,0,16,120,63,3,235,315,0
Kerala,Kottayam,2001,22,0,25,252,17,2,125,82,0
Kerala,Kozhikode,2001,39,0,26,302,391,2,118,319,0
Kerala,Malappuram,2001,71,0,40,211,30,3,92,448,0
Kerala,Palakkad,2001,63,0,66,159,67,5,112,215,0
Kerala,Pathanamthitta,2001,12,0,10,65,29,0,90,95,0
Kerala,Railways,2001,1,0,0,1,0,0,0,0,0
Kerala,Thrissur,2001,42,0,40,390,4,2,223,198,0
Kerala,Trivandrum,2001,57,0,35,394,77,6,345,210,0
Kerala,Wayanadu,2001,35,0,29,90,13,0,56,59,0
Kerala,Total,2001,562,0,428,2756,768,27,1942,2561,0
Madhya Pradesh,Balaghat,2001,87,0,10,10,18,3,157,72,51
Madhya Pradesh,Barwani,2001,34,0,6,5,10,5,81,18,71
Madhya Pradesh,Betul,2001,95,0,6,15,16,7,135,71,59
Madhya Pradesh,Bhind,2001,31,0,9,28,17,34,80,54,88
Madhya Pradesh,Bhopal,2001,106,0,33,192,8,15,252,132,272
Madhya Pradesh,Bhopal Rly.,2001,1,0,0,8,0,0,10,0,2
Madhya Pradesh,Chhatarpur,2001,65,0,0,36,20,20,193,46,96
Madhya Pradesh,Chhindwara,2001,93,0,16,67,26,10,203,109,98
Madhya Pradesh,Damoh,2001,66,0,3,18,32,28,189,58,0
Madhya Pradesh,Datiya,2001,12,0,1,8,9,8,57,18,38
Madhya Pradesh,Dewas,2001,78,0,16,22,39,15,279,96,107
Madhya Pradesh,Dhar,2001,68,0,33,25,28,41,168,88,0
Madhya Pradesh,Dindori,2001,20,0,5,6,4,0,53,4,14
Madhya Pradesh,Guna,2001,124,0,14,27,35,7,317,95,116
Madhya Pradesh,Gwalior,2001,59,0,22,81,25,20,139,49,189
Madhya Pradesh,Harda,2001,28,0,0,9,8,9,35,27,0
Madhya Pradesh,Hoshangabad,2001,65,0,8,25,13,9,109,31,0
Madhya Pradesh,Indore,2001,84,0,59,149,29,25,215,161,269
Madhya Pradesh,Indore Rly.,2001,2,0,0,5,0,0,5,0,0
Madhya Pradesh,Jabalpur,2001,108,0,14,40,15,28,264,81,186
Madhya Pradesh,Jabalpur Rly.,2001,0,0,2,2,0,1,4,0,0
Madhya Pradesh,Jhabua,2001,44,0,5,10,45,5,127,24,0
Madhya Pradesh,Katni,2001,25,0,1,26,8,11,106,59,64
Madhya Pradesh,Khandwa,2001,63,0,9,44,9,11,184,49,58
Madhya Pradesh,Khargon,2001,47,0,16,16,17,5,164,21,3
Madhya Pradesh,Mandla,2001,64,0,2,29,15,4,151,46,40
Madhya Pradesh,Mandsaur,2001,41,0,14,27,27,4,102,30,76
Madhya Pradesh,Morena,2001,35,0,4,13,19,29,77,34,111
Madhya Pradesh,Narsinghpur,2001,70,0,1,10,24,22,156,40,51
Madhya Pradesh,Neemuch,2001,37,0,24,32,18,1,83,62,51
Madhya Pradesh,Panna,2001,44,0,1,10,11,19,104,31,26
Madhya Pradesh,Raisen,2001,79,0,6,7,18,20,194,50,10
Madhya Pradesh,Rajgarh,2001,95,0,7,13,51,7,196,49,93
Madhya Pradesh,Ratlam,2001,70,0,13,37,17,4,125,53,69
Madhya Pradesh,Rewa,2001,31,0,1,23,31,18,105,56,127
Madhya Pradesh,Sagar,2001,141,0,10,56,51,29,509,142,106
Madhya Pradesh,Satna,2001,58,0,4,12,34,19,157,65,125
Madhya Pradesh,Seoni,2001,52,0,8,19,7,10,106,25,73
Madhya Pradesh,Shahdol,2001,63,0,17,19,26,9,216,87,0
Madhya Pradesh,Shajapur,2001,90,0,11,28,35,8,153,65,59
Madhya Pradesh,Sheopur,2001,21,0,7,8,4,6,52,14,15
Madhya Pradesh,Shivpuri,2001,72,0,11,27,38,14,172,26,162
Madhya Pradesh,Sidhi,2001,42,0,2,25,23,27,105,66,89
Madhya Pradesh,Sihore,2001,59,0,17,26,23,5,130,45,68
Madhya Pradesh,Tikamgarh,2001,86,0,0,12,26,15,177,27,64
Madhya Pradesh,Ujjain,2001,59,0,24,64,38,7,161,109,52
Madhya Pradesh,Umariya,2001,25,0,4,16,12,2,61,21,0
Madhya Pradesh,Vidisha,2001,112,0,5,26,35,13,245,56,49
Madhya Pradesh,Total,2001,2851,0,481,1413,1014,609,7063,2562,3297
Maharashtra,Ahmednagar,2001,44,0,37,59,44,0,74,496,479
Maharashtra,Akola,2001,15,0,15,59,48,2,109,189,116
