statename,distname,YEAR,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,AUTO THEFT
Maharashtra,Sindhudurg,2001,2,1,4,106,17
Maharashtra,Solapur Commr.,2001,15,7,32,306,98
Maharashtra,Solapur Rural,2001,23,19,29,365,65
Maharashtra,Thane Commr.,2001,62,27,146,1774,644
Maharashtra,Thane Rural,2001,28,40,53,523,147
Maharashtra,Wardha,2001,12,6,20,592,30
Maharashtra,Washim,2001,13,7,17,409,21
Maharashtra,Yavatmal,2001,37,3,33,788,67
Maharashtra,Total,2001,985,529,2239,39866,8873
Manipur,Bishnupur,2001,3,3,2,11,1
Manipur,Chandel,2001,1,16,4,1,0
Manipur,Churachandpur,2001,0,0,0,12,1
Manipur,Imphal(East),2001,13,0,1,28,16
Manipur,Imphal(West),2001,48,1,2,121,52
Manipur,Senapati,2001,6,0,1,9,0
Manipur,Tamenglong,2001,0,0,0,4,0
Manipur,Thoubal,2001,22,0,6,20,1
Manipur,Ukhrul,2001,1,0,3,11,0
Manipur,Total,2001,94,20,19,217,71
Meghalaya,Garo Hills East,2001,5,7,14,16,0
Meghalaya,Garo Hills South,2001,2,3,4,8,0
Meghalaya,Garo Hills West,2001,14,9,4,30,3
Meghalaya,Jaintia Hills,2001,6,17,7,30,0
Meghalaya,Khasi Hills East,2001,20,27,68,142,11
Meghalaya,Khasi Hills West,2001,0,19,16,23,0
Meghalaya,Ri-Bhoi,2001,8,15,12,22,2
Meghalaya,Total,2001,55,97,125,271,16
Mizoram,Aizawl,2001,0,0,8,562,9
Mizoram,Champhai,2001,1,0,0,51,1
Mizoram,Kolasib,2001,0,0,0,83,1
Mizoram,Lawngtlai,2001,0,1,0,25,0
Mizoram,Lunglei,2001,0,1,0,120,5
Mizoram,Mamit,2001,0,1,13,12,0
Mizoram,Saiha,2001,0,0,1,0,0
Mizoram,Serchhip,2001,1,0,1,25,1
Mizoram,Total,2001,2,3,23,878,17
Nagaland,Dimapur,2001,13,4,89,114,48
Nagaland,Kiphire,2001,0,0,0,5,0
Nagaland,Kohima,2001,3,2,19,66,40
Nagaland,Mokokchung,2001,1,1,5,12,1
Nagaland,Mon,2001,2,1,5,6,0
Nagaland,Peren,2001,0,0,1,4,0
Nagaland,Phek,2001,2,2,2,7,0
Nagaland,Tuensang,2001,0,1,2,5,0
Nagaland,Wokha,2001,2,0,3,28,0
Nagaland,Zunheboto,2001,0,0,3,11,0
Nagaland,Total,2001,23,11,129,258,89
Orissa,Angul,2001,5,3,19,175,9
Orissa,Balasore,2001,37,12,43,164,17
Orissa,Baragarh,2001,8,0,25,146,0
Orissa,Berhampur,2001,13,7,54,143,45
Orissa,Bhadrak,2001,20,2,16,93,7
Orissa,Bolangir,2001,16,3,20,112,6
Orissa,Boudh,2001,5,0,5,39,0
Orissa,Cuttack,2001,43,21,121,738,90
Orissa,Deogarh,2001,4,3,7,22,0
Orissa,Dhenkanal,2001,14,2,26,84,14
Orissa,Gajapati,2001,5,2,1,40,2
Orissa,Ganjam,2001,14,8,31,124,10
Orissa,Jagatsinghpur,2001,21,9,31,136,8
Orissa,Jajpur,2001,14,2,30,129,16
Orissa,Jharsuguda,2001,5,4,12,81,15
Orissa,Kalahandi,2001,17,1,34,75,7
Orissa,Kandhamal,2001,25,2,19,115,1
Orissa,Kendrapara,2001,15,4,21,78,10
Orissa,Keonjhar,2001,19,4,16,154,10
Orissa,Khurda,2001,39,24,151,953,356
Orissa,Koraput,2001,13,4,16,153,15
Orissa,Malkangir,2001,6,10,8,42,7
Orissa,Mayurbhanj,2001,31,16,39,199,17
Orissa,Nayagarh,2001,23,3,19,60,5
Orissa,Nowrangpur,2001,11,13,14,83,3
Orissa,Nuapada,2001,4,0,11,44,3
Orissa,Puri,2001,32,11,33,236,28
Orissa,Rayagada,2001,6,4,3,64,1
Orissa,Rourkela,2001,6,7,21,209,35
